Setting interface address, interface = SingleCell.eNodeB.pppIf, address = 10.0.2.2, netmask = 255.255.255.0
Setting interface address, interface = SingleCell.eNodeB.wlan, address = 10.0.3.1, netmask = 255.255.255.0
Setting interface address, interface = SingleCell.ue[0].wlan, address = 10.0.3.2, netmask = 255.255.255.0
Setting interface address, interface = SingleCell.ue[1].wlan, address = 10.0.3.3, netmask = 255.255.255.0
Setting interface address, interface = SingleCell.ue[2].wlan, address = 10.0.3.4, netmask = 255.255.255.0
Setting interface address, interface = SingleCell.ue[3].wlan, address = 10.0.3.5, netmask = 255.255.255.0
Setting interface address, interface = SingleCell.ue[4].wlan, address = 10.0.3.6, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.server.ppp0, address = 10.0.0.1, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.router.ppp0, address = 10.0.0.2, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.router.ppp1, address = 10.0.1.1, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.pgw.pppInterface, address = 10.0.1.2, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.pgw.ppp0, address = 10.0.2.1, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.router1.ppp1, address = 10.0.2.2, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.eNodeB.wlan, address = 10.0.3.1, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.ue[0].wlan, address = 10.0.3.2, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.ue[1].wlan, address = 10.0.3.3, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.ue[2].wlan, address = 10.0.3.4, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.ue[3].wlan, address = 10.0.3.5, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.ue[4].wlan, address = 10.0.3.6, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.eNodeB.pppIf, address = 10.0.4.1, netmask = 255.255.255.0
Setting interface address, interface = SingleCell2.router1.ppp0, address = 10.0.4.2, netmask = 255.255.255.0
